endpoint	dataset	graph	count
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/drpsnpto	5141
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dseo	936
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dsip2324_demo	108
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dsip7	145
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dsip8	106
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dsip_fl_7	145
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dsipf7	145
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dsipfl7	253
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/dto	286490
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/duo	5760
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/e-ppo	112
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ebp	5021
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ecao	333144
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ecdo	327
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ecg	8733
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ecm4m-md-vocabs	173
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/eco	65675
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ecocore	256678
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ecosim	16
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ecp	473
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ecso	23065
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ecto	512297
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/edam-bioimaging	3518
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/edam	42052
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/edda	6145
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/edda_pt	1038
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/edem-connectonto	2917
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/efo	3092692
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ego	57092
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ehda	108363
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ehdaa	25663
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ehdaa2	71035
